,game_id,event,player_name
107,f444bff8-acec-4162-b516-44ff0e1ebce7,FIDE-Wch k.o.,"Khalifman, Alexander"
108,cbbf1122-97f5-49cb-98f6-3ae8068d07d1,FIDE-Wch k.o.,"Alterman, Boris"
109,9057579c-6c4f-4d66-81c3-9ce2a9b0f76a,World Championship 24th,"Tal, Mihail"
110,3c52af29-0082-45c2-bca6-51ef3484f98c,World Championship 22th,"Botvinnik, Mikhail"
111,e82c3785-2b99-44a5-98d9-42f906fe8567,World Championship 15th,"Bogoljubow, Efim"
112,3b1a67dc-3e5d-48bf-9a81-47985680cdc3,World Championship 14th,"Bogoljubow, Efim"
113,cb7d59ea-bbac-41be-8319-5103b3c7525a,World Championship 13th,"Alekhine, Alexander"
114,1e2d1890-d229-406a-b5e0-0312a86f7594,World Championship 8th,"Lasker, Emanuel"
115,6f22ecae-3d39-4705-8049-31667ae7da9e,World Championship 2nd,"Steinitz, William"
116,c027614d-2c10-4a1d-86aa-ac7828c9abc1,World Championship 1st,"Zukertort, Johannes Hermann"
117,8ddb538f-20e7-4237-b3f9-42b4920b75c6,WCh 2013,"Carlsen, Magnus"
118,1c47c1e0-b68c-4e9f-a5c0-daba750ad44a,FIDE WCh KO,"Kotsur,P"
119,e945781f-92a2-4fba-9f3e-cb8f140698b2,FIDE WCh KO,"Tiviakov,S"
120,d72318b4-11a6-4513-99e9-b84704a0f583,FIDE WCh KO,"Sokolov,I"
121,f5b843c3-8931-4534-bb1c-acb38162805b,FIDE WCh KO,"Dreev,A"
122,e188a65e-e843-4bf8-80a4-47894a3c7df3,FIDE WCh KO,"Anastasian,A"
123,ae5c3771-1daf-4e6f-b5a3-4271d08197f3,World Championship 11th,"Janowsky, Dawid Markelowicz"
124,efabc674-0300-4955-ba54-f007aab8075c,FIDE WCh KO,"Bareev,E"
125,ac205b6a-d270-4c88-824f-be5e6532a76f,FIDE WCh KO,"Ponomariov,R"
126,9bab41f0-016e-48be-96d2-233447b4fc3f,FIDE WCh KO,"Krasenkow,M"
127,9554ce02-2c1f-449d-97d5-862433641585,FIDE-Wch k.o. g/25+10,"Yermolinsky, Alex"
128,e73545b9-cc71-489e-ada6-b3a7c6439d16,FIDE-Wch k.o.,"Short, Nigel D"
129,34e3ac8b-3de3-45cf-b163-45b4c41a09e5,FIDE-Wch k.o.,"Sutovskij, Emil"
130,2ee4e113-50d9-4c5d-b282-6731d1ba6d86,FIDE-Wch k.o.,"Bareev, Evgeny"
131,502a87ed-a19a-41f8-9c46-47a9a25c166b,FIDE-Wch k.o.,"Gelfand, Boris"
132,afd4a229-33f0-4ae4-8423-9d944784660b,World Championship 18th,"Reshevsky, Samuel Herman"
133,8ccb3671-6648-4abb-b559-13fd294070b4,FIDE WCh KO,"Grischuk,A"
134,f2760893-5b93-4859-b445-12d32783f4ce,FIDE WCh KO,"Topalov,V"
135,4ec37cf2-3d2b-43dd-a1b6-72512b2908bf,FIDE WCh KO,"Ivanov,AV"
136,bffb11a8-ae16-4c1a-91c1-ff93f2355ab6,FIDE WCh KO,"Morozevich,A"
137,c775b40e-0f05-4c97-b673-e67e1d61a9b6,FIDE-Wch k.o.,"Zvjaginsev, Vadim"
138,3848a1f9-fa48-4afd-8c15-89b7e4a9da99,FIDE-Wch k.o.,"Akopian, Vladimir"
139,2ee4e113-50d9-4c5d-b282-6731d1ba6d86,FIDE-Wch k.o.,"Malaniuk, Vladimir P"
140,7b9dece3-57e9-4181-a036-89640242a082,FIDE-Wch,"Karpov, Anatoly"
141,15b90b94-cdcb-486a-8231-256f99b950b0,World Championship 7th,"Lasker, Emanuel"
142,55a122db-27d1-495c-bec4-bc811c1e6950,WCh 2021,"Carlsen,M"
143,eb5d2086-ce64-4dab-83b5-4de17e191ed9,FIDE WCh KO,"Solomon,K"
144,7e04a9d6-d522-46bb-9696-7c19c2d487ed,FIDE WCh KO,"Lastin,A"
145,f0ad2ebb-a299-4b37-bb8f-5c332bbbce7d,FIDE WCh KO,"Aronian,L"
146,8cc04271-c47c-48b4-a0da-05747e6e7f8b,FIDE WCh KO,"Villamayor,B"
147,933ac29c-24d2-406a-8c0c-71942e60978d,FIDE WCh KO,"Baklan,V"
148,44bdc534-d751-4664-b33a-cf0c08df584c,FIDE WCh KO,"Grischuk,A"
149,cc43a734-8fb4-4165-ba21-e477ad0beadc,FIDE-Wch k.o.,"Milos, Gilberto"
150,278ef7b7-41ab-46b0-af4a-09964d32d28a,FIDE-Wch k.o. g/25+10,"Stefansson, Hannes"
151,b2700a1b-4b4f-4155-8b95-b7208e0da54a,FIDE-Wch k.o.,Peng Xiaomin
152,55dc58f3-7592-4b3f-9bc2-195de48794e1,World Championship 9th,"Janowsky, Dawid Markelowicz"
153,e7bc4e42-eef4-459e-a2d1-4fd11faa2765,World Championship 2nd,"Chigorin, Mikhail"
154,41639ad8-5ba4-4fa2-a31a-a2999dc66163,FIDE WCh KO,"Felgaer,R"
155,4d5c9e21-d15b-468d-9ac1-e84d9318fa3b,FIDE WCh KO,"Khalifman,A"
156,cf984032-7ddc-4346-8f15-96b1e9cd98f2,FIDE WCh KO,"Lima,Da"
157,d85e9963-b2cd-495a-9fbc-4f68a62b027c,World Championship 15th,"Bogoljubow, Efim"
158,8ab85012-9d7e-4114-9508-9c217595d15d,World Championship 8th,"Tarrasch, Siegbert"
159,680802b5-2316-45f1-a2ca-745ba9c57bb0,World Championship 5th,"Lasker, Emanuel"
160,c00e9db7-e53c-4f7a-bbf2-0bee135d6048,FIDE WCh KO,"Lastin,A"
161,02ddab74-4fff-47bb-bd5c-88c74c95127b,FIDE-Wch k.o.,"Macieja, Bartlomiej"
162,122a6eee-035b-4479-a366-a7f7dc45685a,World Championship 33th-KK3,"Karpov, Anatoly"
163,fb1085d0-69a8-446e-96f6-02fc015a24dc,World Championship 31th-KK1,"Kasparov, Gary"
164,a44522e9-8459-4d82-b84f-69e67447aef0,World Championship 28th,"Fischer, Robert James"
165,cc2ed4f0-80bb-4709-a102-3b8e720a822c,FIDE WCh KO,"Krasenkow,M"
166,b28fb646-97bc-4e74-9847-567c2df59dd7,FIDE-Wch k.o. g/25+10,"Kortschnoj, Viktor"
167,046d5cef-2a47-46c7-a91a-298a0b055179,World Championship 4th,"Chigorin, Mikhail"
168,61e86803-5fc3-4b47-af50-24f4a3789290,WCh,"Grischuk,A"
169,c77671af-4a21-4e33-ac7a-6034e35b1bcb,WCh,"Aronian,L"
170,2c715dbf-e944-4083-b7c5-21619a180189,WCh-FIDE,"Kasimdzhanov,R"
171,f2c2deda-9016-46ab-bfb5-6339ad5643dc,FIDE WCh KO,"Neverov,V"
172,d290cdbc-88ef-43b0-80ce-a27179dfad77,FIDE WCh KO,"Sadvakasov,D"
173,34936814-c235-47b2-b595-d8e37e03cdcf,FIDE WCh KO,"Timoshenko,G"
174,2d8e4c69-622f-4715-b8da-ef77a9ee531d,FIDE WCh KO,"Felgaer,R"
175,0d9a3337-c70d-406f-b0cf-76373163164b,FIDE WCh KO,"Adams,Mi"
176,7bd5493f-8f3d-4f53-a78d-c06234f45594,FIDE WCh KO,"Luther,T"
177,eb814a74-be9a-4fac-ae83-80da7f0cac2e,FIDE WCh KO,"Dreev,A"
178,8d8bfe6d-f143-4146-8841-c54f584d457f,FIDE WCh KO,"Galkin,A"
179,dc38ab5e-55a4-40b7-9f0a-46bfda04e6a1,FIDE-Wch k.o. g/25+10,"Miles, Anthony J"
180,ac80d204-06ee-4be4-9252-c135246873b2,World Championship 17th,"Alekhine, Alexander"
181,41639ad8-5ba4-4fa2-a31a-a2999dc66163,FIDE WCh KO,"Jobava,Ba"
182,fd122b42-cfa5-45f9-8183-d0ab7db76d14,FIDE-Wch k.o.,"Hoffman, Alejandro"
183,e8db162c-ff0e-40ee-8e82-69e5227b6610,FIDE-Wch k.o.,"Rublevsky, Sergei"
184,4e234cdc-57ac-409b-8272-61348b9e5f69,World Championship 24th,"Tal, Mihail"
185,2f8329a5-0959-4d73-a919-dec8e688a621,World Championship 10th,"Schlechter, Carl"
186,960a1003-1ec9-4839-a177-bfcc93b6c4a1,World Championship 5th,"Lasker, Emanuel"
